Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 89.54      4.88     4.88  3471788     0.00     0.00  UnsignedBigInt::operator*=(UnsignedBigInt const&)
  5.32      5.17     0.29  2013039     0.00     0.00  UnsignedBigInt::operator>>=(unsigned long const&)
  2.94      5.33     0.16   533521     0.00     0.00  UnsignedBigInt::operator-=(UnsignedBigInt const&)
  0.92      5.38     0.05  1691976     0.00     0.00  UnsignedBigInt::operator<(UnsignedBigInt const&) const
  0.18      5.39     0.01   569012     0.00     0.00  UnsignedBigInt::operator^=(UnsignedBigInt const&)
  0.18      5.40     0.01   493586     0.00     0.01  UnsignedBigInt::barret_mod_eq(UnsignedBigInt const&, UnsignedBigInt const&, unsigned long const&)
  0.18      5.41     0.01    50693     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.18      5.42     0.01    14602     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char)
  0.18      5.43     0.01     8439     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::operator[](unsigned long) const
  0.18      5.44     0.01     6805     0.00     0.00  UnsignedBigInt::operator+=(unsigned long const&)
  0.18      5.45     0.01      849     0.01     6.37  UnsignedBigInt::barret_modexp_eq(UnsignedBigInt const&, UnsignedBigInt const&, UnsignedBigInt const&, unsigned long const&)
  0.00      5.45     0.00  2964981     0.00     0.00  UnsignedBigInt::UnsignedBigInt(int)
  0.00      5.45     0.00  2523999     0.00     0.00  UnsignedBigInt::operator>(UnsignedBigInt const&) const
  0.00      5.45     0.00  1770909     0.00     0.00  UnsignedBigInt apply_binary_op<UnsignedBigInt>(UnsignedBigInt const&, UnsignedBigInt const&, UnsignedBigInt& (UnsignedBigInt::*)(UnsignedBigInt const&))
  0.00      5.45     0.00  1158055     0.00     0.00  UnsignedBigInt::operator*(UnsignedBigInt const&) const
  0.00      5.45     0.00   625295     0.00     0.00  UnsignedBigInt::operator=(UnsignedBigInt const&)
  0.00      5.45     0.00   564566     0.00     0.00  UnsignedBigInt apply_binary_op<unsigned long>(UnsignedBigInt const&, unsigned long const&, UnsignedBigInt& (UnsignedBigInt::*)(unsigned long const&))
  0.00      5.45     0.00   539972     0.00     0.00  UnsignedBigInt::operator^(UnsignedBigInt const&) const
  0.00      5.45     0.00   538421     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      5.45     0.00   531393     0.00     0.00  UnsignedBigInt::operator>>(unsigned long const&) const
  0.00      5.45     0.00   431151     0.00     0.00  std::__is_constant_evaluated()
  0.00      5.45     0.00   390542     0.00     0.00  UnsignedBigInt::least_significant_bit() const
  0.00      5.45     0.00   170322     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      5.45     0.00   158858     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      5.45     0.00   150167     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long)
  0.00      5.45     0.00   141080     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      5.45     0.00   141007     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      5.45     0.00   140532     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00      5.45     0.00   140328     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      5.45     0.00   139302     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      5.45     0.00   116862     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      5.45     0.00   102368     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
