Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.01     0.01    20001     0.00     0.00  UnsignedBigInt::operator>>=(unsigned long const&)
 50.00      0.02     0.01     9978     0.00     0.00  UnsignedBigInt::operator-=(UnsignedBigInt const&)
  0.00      0.02     0.00    29594     0.00     0.00  UnsignedBigInt::operator<(UnsignedBigInt const&) const
  0.00      0.02     0.00    17938     0.00     0.00  UnsignedBigInt::operator>=(UnsignedBigInt const&) const
  0.00      0.02     0.00     2243     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.02     0.00     1663     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.02     0.00      964     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      0.02     0.00      743     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00      0.02     0.00      728     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.02     0.00      726     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.02     0.00      723     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      0.02     0.00      720     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      0.02     0.00      578     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      0.02     0.00      567     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      0.02     0.00      481     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      0.02     0.00      444     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      0.02     0.00      407     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      0.02     0.00      382     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      0.02     0.00      364     0.00     0.00  ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&& std::forward<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(std::remove_reference<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>::type&)
  0.00      0.02     0.00      346     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      0.02     0.00      344     0.00     0.00  char* std::addressof<char>(char&)
  0.00      0.02     0.00      341     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      0.02     0.00      338     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      0.02     0.00      336     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00      0.02     0.00      332     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.00      0.02     0.00      326     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      0.02     0.00      303     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00      0.02     0.00      298     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00      0.02     0.00      270     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.02     0.00      266     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      0.02     0.00      253     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00      0.02     0.00      217     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00      0.02     0.00      213     0.00     0.00  std::is_constant_evaluated()
  0.00      0.02     0.00      212     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check_length(unsigned long, unsigned long, char const*) const
  0.00      0.02     0.00      204     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00      0.02     0.00      187     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00      0.02     0.00      183     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      0.02     0.00      171     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long)
  0.00      0.02     0.00      171     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_assign(char*, unsigned long, char)
  0.00      0.02     0.00      162     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.02     0.00      157     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
  0.00      0.02     0.00      150     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.02     0.00      148     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00      0.02     0.00      146     0.00     0.00  std::__new_allocator<char>::deallocate(char*, unsigned long)
  0.00      0.02     0.00      146     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.02     0.00      144     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long* const&)
  0.00      0.02     0.00      143     0.00     0.00  UnsignedBigInt::UnsignedBigInt(int)
  0.00      0.02     0.00      142     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char)
  0.00      0.02     0.00      139     0.00     0.00  std::__new_allocator<char>::allocate(unsigned long, void const*)
  0.00      0.02     0.00      136     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_allocate(std::allocator<char>&, unsigned long)
  0.00      0.02     0.00      132     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00      0.02     0.00      128     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
  0.00      0.02     0.00      125     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long)
  0.00      0.02     0.00      124     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00      0.02     0.00      113     0.00     0.00  UnsignedBigInt::operator==(UnsignedBigInt const&) const
  0.00      0.02     0.00      113     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.00      0.02     0.00      111     0.00     0.00  std::char_traits<char>::assign(char*, unsigned long, char)
  0.00      0.02     0.00      108     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.02     0.00      105     0.00     0.00  std::atomic<bool>::operator bool() const
  0.00      0.02     0.00       98     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      0.02     0.00       95     0.00     0.00  UnsignedBigInt::operator>(UnsignedBigInt const&) const
  0.00      0.02     0.00       94     0.00     0.00  std::thread::id::id()
  0.00      0.02     0.00       91     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00       82     0.00     0.00  __gthread_active_p()
  0.00      0.02     0.00       80     0.00     0.00  std::_Bind<encrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()>&& std::forward<std::_Bind<encrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()> >(std::remove_reference<std::_Bind<encrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()> >::type&)
  0.00      0.02     0.00       77     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace_aux(unsigned long, unsigned long, unsigned long, char)
  0.00      0.02     0.00       76     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(unsigned long, char)
  0.00      0.02     0.00       73     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
  0.00      0.02     0.00       71     0.00     0.00  UnsignedBigInt::most_significant_bit_idx() const
  0.00      0.02     0.00       69     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::empty() const
  0.00      0.02     0.00       69     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.02     0.00       69     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.02     0.00       69     0.00     0.00  std::operator==(std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&, std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&)
  0.00      0.02     0.00       68     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const
  0.00      0.02     0.00       65     0.00     0.00  ThreadPool::ThreadPool(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const
  0.00      0.02     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      0.02     0.00       64     0.00     0.00  std::thread::joinable() const
  0.00      0.02     0.00       64     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.02     0.00       63     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::__normal_iterator(std::thread* const&)
  0.00      0.02     0.00       63     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00      0.02     0.00       62     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.02     0.00       62     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::end()
  0.00      0.02     0.00       61     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.02     0.00       61     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       61     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       61     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator*() const
  0.00      0.02     0.00       60     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::max_size() const
  0.00      0.02     0.00       60     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
