Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 51.19      0.43     0.43   760816     0.00     0.00  UnsignedBigInt::operator>>=(unsigned long const&)
 36.90      0.74     0.31     1818     0.17     0.17  UnsignedBigInt::operator-=(UnsignedBigInt const&)
  5.95      0.79     0.05     2422     0.02     0.02  UnsignedBigInt::operator<(UnsignedBigInt const&) const
  2.38      0.81     0.02        2    10.00   229.54  UnsignedBigInt::operator%=(UnsignedBigInt const&)
  2.38      0.83     0.02                             UnsignedBigInt::operator*=(UnsignedBigInt const&)
  1.19      0.84     0.01   633918     0.00     0.00  UnsignedBigInt::operator<=(UnsignedBigInt const&) const
  0.00      0.84     0.00  1053295     0.00     0.00  UnsignedBigInt::barret_modexp_eq(UnsignedBigInt const&, UnsignedBigInt const&, UnsignedBigInt const&, unsigned long const&)
  0.00      0.84     0.00   335230     0.00     0.00  UnsignedBigInt::operator+=(UnsignedBigInt const&)
  0.00      0.84     0.00     4794     0.00     0.00  UnsignedBigInt::digits() const
  0.00      0.84     0.00     3614     0.00     0.00  UnsignedBigInt::UnsignedBigInt(int)
  0.00      0.84     0.00     3328     0.00     0.00  UnsignedBigInt::operator>=(UnsignedBigInt const&) const
  0.00      0.84     0.00     2883     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.84     0.00     2527     0.00     0.00  std::__is_constant_evaluated()
  0.00      0.84     0.00     2518     0.00     0.00  UnsignedBigInt::operator<<=(unsigned long const&)
  0.00      0.84     0.00     1282     0.00     0.00  UnsignedBigInt::operator^=(UnsignedBigInt const&)
  0.00      0.84     0.00      966     0.00     0.00  UnsignedBigInt::most_significant_bit_idx() const
  0.00      0.84     0.00      934     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00      0.84     0.00      874     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      0.84     0.00      859     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long)
  0.00      0.84     0.00      730     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.84     0.00      722     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00      0.84     0.00      717     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.84     0.00      716     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      0.84     0.00      714     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      0.84     0.00      596     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      0.84     0.00      532     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      0.84     0.00      405     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00      0.84     0.00      365     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::~vector()
