Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 56.23     51.51    51.51 120553918     0.00     0.00  UnsignedBigInt::operator>>=(unsigned long const&)
 36.47     84.92    33.41 54418982     0.00     0.00  UnsignedBigInt::operator-=(UnsignedBigInt const&)
  3.99     88.58     3.65 168779186     0.00     0.00  UnsignedBigInt::operator<(UnsignedBigInt const&) const
  1.78     90.20     1.63   207974     0.00     0.00  UnsignedBigInt::operator%=(UnsignedBigInt const&)
  0.70     90.84     0.64   339064     0.00     0.00  UnsignedBigInt::operator*=(UnsignedBigInt const&)
  0.56     91.36     0.51 102936473     0.00     0.00  UnsignedBigInt::operator>=(UnsignedBigInt const&) const
  0.09     91.44     0.09   324185     0.00     0.00  UnsignedBigInt::operator<<=(unsigned long const&)
  0.09     91.53     0.09                             UnsignedBigInt::barret_modexp_eq(UnsignedBigInt const&, UnsignedBigInt const&, UnsignedBigInt const&, unsigned long const&)
  0.02     91.55     0.02   614913     0.00     0.00  UnsignedBigInt::most_significant_bit_idx() const
  0.02     91.56     0.02   537511     0.00     0.00  UnsignedBigInt::operator==(UnsignedBigInt const&) const
  0.01     91.58     0.01   662706     0.00     0.00  UnsignedBigInt::UnsignedBigInt(int)
  0.01     91.58     0.01    49842     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.01     91.59     0.01    32887     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.01     91.61     0.01    20274     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.01     91.61     0.01     2670     0.00     0.00  UnsignedBigInt::operator*=(unsigned long const&)
  0.00     91.61     0.00   472971     0.00     0.00  UnsignedBigInt::operator>(UnsignedBigInt const&) const
  0.00     91.61     0.00   188354     0.00     0.00  UnsignedBigInt::least_significant_bit() const
  0.00     91.61     0.00   175132     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00     91.61     0.00   138932     0.00     0.00  std::__is_constant_evaluated()
  0.00     91.61     0.00    50425     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00     91.61     0.00    50029     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00     91.61     0.00    49021     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00     91.61     0.00    48788     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00     91.61     0.00    48678     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00     91.61     0.00    46853     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00     91.61     0.00    46351     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator[](unsigned long)
  0.00     91.61     0.00    41613     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00     91.61     0.00    23594     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00     91.61     0.00    22533     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00     91.61     0.00    22348     0.00     0.00  char* std::addressof<char>(char&)
  0.00     91.61     0.00    22325     0.00     0.00  char* std::__addressof<char>(char&)
  0.00     91.61     0.00    21990     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00     91.61     0.00    21439     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00     91.61     0.00    21330     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00     91.61     0.00    19427     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.00     91.61     0.00    17146     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00     91.61     0.00    16510     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00     91.61     0.00    16130     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00     91.61     0.00    16080     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00     91.61     0.00    14761     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char)
  0.00     91.61     0.00    14566     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00     91.61     0.00    14337     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00     91.61     0.00    13147     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00     91.61     0.00    13070     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00     91.61     0.00    11221     0.00     0.00  std::is_constant_evaluated()
  0.00     91.61     0.00     9870     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00     91.61     0.00     9864     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00     91.61     0.00     9629     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long* const&)
  0.00     91.61     0.00     9523     0.00     0.00  std::__new_allocator<char>::deallocate(char*, unsigned long)
  0.00     91.61     0.00     9492     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00     91.61     0.00     8523     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00     91.61     0.00     8500     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
  0.00     91.61     0.00     8495     0.00     0.00  std::__new_allocator<char>::allocate(unsigned long, void const*)
  0.00     91.61     0.00     7925     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_allocate(std::allocator<char>&, unsigned long)
  0.00     91.61     0.00     7867     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00     91.61     0.00     7670     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00     91.61     0.00     7630     0.00     0.00  operator new(unsigned long, void*)
  0.00     91.61     0.00     7578     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     91.61     0.00     6876     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
